Area_profesional;Puesto;Sector;Tipo_rango;Zona;Valor;Dolar_Promedio_Mes
dirección.;Director comercial;Lab & Pharma;Max;Patagonia;$22.765.753;1284
dirección.;Director comercial;Manufactura;Min;Patagonia;$14.517.650;1284
dirección.;Director comercial;Manufactura;Max;Patagonia;$22.169.909;1284
dirección.;Director comercial;Retail & Comercio;Min;Patagonia;$13.501.418;1284
dirección.;Director comercial;Retail & Comercio;Max;Patagonia;$19.175.368;1284
dirección.;Director comercial;Servicios;Min;Patagonia;$13.502.700;1284
dirección.;Director comercial;Servicios;Max;Patagonia;$19.175.360;1284
dirección.;Director comercial;Transporte y logística;Min;Patagonia;$13.501.350;1284
dirección.;Director comercial;Transporte y logística;Max;Patagonia;$19.175.373;1284
dirección.;Director de Operaciones;Automotriz;Min;Buenos Aires;$11.270.221;1284
dirección.;Director de Operaciones;Automotriz;Max;Buenos Aires;$18.268.005;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Min;Buenos Aires;$11.791.470;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Max;Buenos Aires;$18.758.980;1284
dirección.;Director de Operaciones;Consumo masivo;Min;Buenos Aires;$10.481.306;1284
dirección.;Director de Operaciones;Consumo masivo;Max;Buenos Aires;$13.844.921;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Min;Buenos Aires;$11.791.470;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Max;Buenos Aires;$18.758.980;1284
dirección.;Director de Operaciones;IT;Min;Buenos Aires;$11.791.470;1284
dirección.;Director de Operaciones;IT;Max;Buenos Aires;$18.758.980;1284
dirección.;Director de Operaciones;Lab & Pharma;Min;Buenos Aires;$11.791.470;1284
dirección.;Director de Operaciones;Lab & Pharma;Max;Buenos Aires;$18.758.980;1284
dirección.;Director de Operaciones;Manufactura;Min;Buenos Aires;$11.270.221;1284
dirección.;Director de Operaciones;Manufactura;Max;Buenos Aires;$18.268.005;1284
dirección.;Director de Operaciones;Retail & Comercio;Min;Buenos Aires;$10.481.246;1284
dirección.;Director de Operaciones;Retail & Comercio;Max;Buenos Aires;$13.844.934;1284
dirección.;Director de Operaciones;Servicios;Min;Buenos Aires;$10.481.246;1284
dirección.;Director de Operaciones;Servicios;Max;Buenos Aires;$13.844.934;1284
dirección.;Director de Operaciones;Transporte y logística;Min;Buenos Aires;$9.957.184;1284
dirección.;Director de Operaciones;Transporte y logística;Max;Buenos Aires;$13.152.687;1284
dirección.;Director de Operaciones;Automotriz;Min;Cuyo;$9.917.794;1284
dirección.;Director de Operaciones;Automotriz;Max;Cuyo;$16.075.844;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Min;Cuyo;$10.376.494;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Max;Cuyo;$16.507.902;1284
dirección.;Director de Operaciones;Consumo masivo;Min;Cuyo;$9.223.549;1284
dirección.;Director de Operaciones;Consumo masivo;Max;Cuyo;$12.183.530;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Min;Cuyo;$10.376.494;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Max;Cuyo;$16.507.902;1284
dirección.;Director de Operaciones;IT;Min;Cuyo;$10.376.494;1284
dirección.;Director de Operaciones;IT;Max;Cuyo;$16.507.902;1284
dirección.;Director de Operaciones;Lab & Pharma;Min;Cuyo;$10.376.494;1284
dirección.;Director de Operaciones;Lab & Pharma;Max;Cuyo;$16.507.902;1284
dirección.;Director de Operaciones;Manufactura;Min;Cuyo;$9.917.794;1284
dirección.;Director de Operaciones;Manufactura;Max;Cuyo;$16.075.844;1284
dirección.;Director de Operaciones;Retail & Comercio;Min;Cuyo;$9.223.496;1284
dirección.;Director de Operaciones;Retail & Comercio;Max;Cuyo;$12.183.542;1284
dirección.;Director de Operaciones;Servicios;Min;Cuyo;$9.223.496;1284
dirección.;Director de Operaciones;Servicios;Max;Cuyo;$12.183.542;1284
dirección.;Director de Operaciones;Transporte y logística;Min;Cuyo;$8.762.322;1284
dirección.;Director de Operaciones;Transporte y logística;Max;Cuyo;$11.574.365;1284
dirección.;Director de Operaciones;Automotriz;Min;Litoral-Centro;$10.143.199;1284
dirección.;Director de Operaciones;Automotriz;Max;Litoral-Centro;$16.441.205;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Min;Litoral-Centro;$10.612.323;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Max;Litoral-Centro;$16.883.082;1284
dirección.;Director de Operaciones;Consumo masivo;Min;Litoral-Centro;$9.433.175;1284
dirección.;Director de Operaciones;Consumo masivo;Max;Litoral-Centro;$12.460.429;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Min;Litoral-Centro;$10.612.323;1284
dirección.;Director de Operaciones;Gas, Petróleo y Minería;Max;Litoral-Centro;$16.883.082;1284
dirección.;Director de Operaciones;IT;Min;Litoral-Centro;$10.612.323;1284
dirección.;Director de Operaciones;IT;Max;Litoral-Centro;$16.883.082;1284
dirección.;Director de Operaciones;Lab & Pharma;Min;Litoral-Centro;$10.612.323;1284
dirección.;Director de Operaciones;Lab & Pharma;Max;Litoral-Centro;$16.883.082;1284
dirección.;Director de Operaciones;Manufactura;Min;Litoral-Centro;$10.143.199;1284
dirección.;Director de Operaciones;Manufactura;Max;Litoral-Centro;$16.441.205;1284
dirección.;Director de Operaciones;Retail & Comercio;Min;Litoral-Centro;$9.433.121;1284
dirección.;Director de Operaciones;Retail & Comercio;Max;Litoral-Centro;$12.460.441;1284
dirección.;Director de Operaciones;Servicios;Min;Litoral-Centro;$9.433.121;1284
dirección.;Director de Operaciones;Servicios;Max;Litoral-Centro;$12.460.441;1284
dirección.;Director de Operaciones;Transporte y logística;Min;Litoral-Centro;$8.961.466;1284
dirección.;Director de Operaciones;Transporte y logística;Max;Litoral-Centro;$11.837.418;1284
dirección.;Director de Operaciones;Automotriz;Min;NEA;$9.297.932;1284
dirección.;Director de Operaciones;Automotriz;Max;NEA;$15.071.104;1284
dirección.;Director de Operaciones;Banca & Serv Financieros;Min;NEA;$9.727.963;1284
