Area_profesional;Puesto;Sector;Tipo_rango;Buenos Aires;Cuyo;Litoral-Centro;NEA;NOA;Patagonia;Dolar_Promedio_Mes
dirección.;Director de Recursos  Humanos;Transporte y logística;Max;$12.397.669;$10.909.949;$11.405.855;$10.228.077;$10.538.019;$15.497.086;1284
administración y finanzas.;Gerente de Administración y Finanzas;Automotriz;Min;$6.595.746;$5.804.256;$6.068.086;$5.441.490;$5.606.384;$8.244.682;1284
administración y finanzas.;Gerente de Administración y Finanzas;Automotriz;Max;$9.753.890;$8.583.423;$8.973.579;$8.046.959;$8.290.806;$12.192.362;1284
administración y finanzas.;Gerente de Administración y Finanzas;Banca & Serv Financieros;Min;$6.281.788;$5.527.973;$5.779.245;$5.182.475;$5.339.519;$7.852.235;1284
administración y finanzas.;Gerente de Administración y Finanzas;Banca & Serv Financieros;Max;$9.753.825;$8.583.366;$8.973.519;$8.046.905;$8.290.751;$12.192.281;1284
administración y finanzas.;Gerente de Administración y Finanzas;Consumo masivo;Min;$5.967.829;$5.251.689;$5.490.403;$4.923.459;$5.072.655;$7.459.786;1284
administración y finanzas.;Gerente de Administración y Finanzas;Consumo masivo;Max;$9.320.751;$8.202.261;$8.575.091;$7.689.620;$7.922.638;$11.650.939;1284
administración y finanzas.;Gerente de Administración y Finanzas;Gas, Petróleo y Minería;Min;$8.574.469;$7.545.533;$7.888.512;$7.073.937;$7.288.299;$10.718.087;1284
administración y finanzas.;Gerente de Administración y Finanzas;Gas, Petróleo y Minería;Max;$11.216.973;$9.870.937;$10.319.615;$9.254.003;$9.534.427;$14.021.217;1284
administración y finanzas.;Gerente de Administración y Finanzas;IT;Min;$6.595.746;$5.804.256;$6.068.086;$5.441.490;$5.606.384;$8.244.682;1284
administración y finanzas.;Gerente de Administración y Finanzas;IT;Max;$9.753.864;$8.583.400;$8.973.555;$8.046.938;$8.290.784;$12.192.330;1284
administración y finanzas.;Gerente de Administración y Finanzas;Lab & Pharma;Min;$6.281.788;$5.527.973;$5.779.245;$5.182.475;$5.339.519;$7.852.235;1284
administración y finanzas.;Gerente de Administración y Finanzas;Lab & Pharma;Max;$9.266.127;$8.154.192;$8.524.837;$7.644.555;$7.876.208;$11.582.658;1284
administración y finanzas.;Gerente de Administración y Finanzas;Manufactura;Min;$6.595.746;$5.804.256;$6.068.086;$5.441.490;$5.606.384;$8.244.682;1284
administración y finanzas.;Gerente de Administración y Finanzas;Manufactura;Max;$9.753.890;$8.583.423;$8.973.579;$8.046.959;$8.290.806;$12.192.362;1284
administración y finanzas.;Gerente de Administración y Finanzas;Retail & Comercio;Min;$5.967.813;$5.251.675;$5.490.388;$4.923.446;$5.072.641;$7.459.766;1284
administración y finanzas.;Gerente de Administración y Finanzas;Retail & Comercio;Max;$9.320.790;$8.202.295;$8.575.127;$7.689.652;$7.922.672;$11.650.988;1284
administración y finanzas.;Gerente de Administración y Finanzas;Servicios;Min;$5.967.813;$5.251.675;$5.490.388;$4.923.446;$5.072.641;$7.459.766;1284
administración y finanzas.;Gerente de Administración y Finanzas;Servicios;Max;$9.320.790;$8.202.295;$8.575.127;$7.689.652;$7.922.672;$11.650.988;1284
administración y finanzas.;Gerente de Administración y Finanzas;Transporte y logística;Min;$5.971.504;$5.254.924;$5.493.784;$4.926.491;$5.075.779;$7.464.380;1284
administración y finanzas.;Gerente de Administración y Finanzas;Transporte y logística;Max;$9.335.224;$8.214.997;$8.588.406;$7.701.559;$7.934.940;$11.669.030;1284
administración y finanzas.;Controller;Automotriz;Min;$4.999.033;$4.399.149;$4.599.110;$4.124.202;$4.249.178;$6.248.791;1284
administración y finanzas.;Controller;Automotriz;Max;$8.357.639;$7.354.723;$7.689.028;$6.895.053;$7.103.993;$10.447.049;1284
administración y finanzas.;Controller;Banca & Serv Financieros;Min;$4.705.003;$4.140.402;$4.328.603;$3.881.627;$3.999.252;$5.881.253;1284
administración y finanzas.;Controller;Banca & Serv Financieros;Max;$8.357.639;$7.354.723;$7.689.028;$6.895.053;$7.103.993;$10.447.049;1284
administración y finanzas.;Controller;Consumo masivo;Min;$5.545.406;$4.879.957;$5.101.773;$4.574.960;$4.713.595;$6.931.757;1284
administración y finanzas.;Controller;Consumo masivo;Max;$8.357.639;$7.354.723;$7.689.028;$6.895.053;$7.103.993;$10.447.049;1284
administración y finanzas.;Controller;Gas, Petróleo y Minería;Min;$4.705.133;$4.140.517;$4.328.723;$3.881.735;$3.999.363;$5.881.417;1284
administración y finanzas.;Controller;Gas, Petróleo y Minería;Max;$8.357.639;$7.354.723;$7.689.028;$6.895.053;$7.103.993;$10.447.049;1284
administración y finanzas.;Controller;IT;Min;$4.705.133;$4.140.517;$4.328.723;$3.881.735;$3.999.363;$5.881.417;1284
administración y finanzas.;Controller;IT;Max;$8.357.718;$7.354.792;$7.689.100;$6.895.117;$7.104.060;$10.447.147;1284
administración y finanzas.;Controller;Lab & Pharma;Min;$4.705.133;$4.140.517;$4.328.723;$3.881.735;$3.999.363;$5.881.417;1284
administración y finanzas.;Controller;Lab & Pharma;Max;$8.358.293;$7.355.298;$7.689.629;$6.895.592;$7.104.549;$10.447.866;1284
administración y finanzas.;Controller;Manufactura;Min;$5.041.242;$4.436.293;$4.637.943;$4.159.025;$4.285.056;$6.301.553;1284
administración y finanzas.;Controller;Manufactura;Max;$8.364.173;$7.360.473;$7.695.040;$6.900.443;$7.109.547;$10.455.217;1284
administración y finanzas.;Controller;Retail & Comercio;Min;$4.704.480;$4.139.942;$4.328.122;$3.881.196;$3.998.808;$5.880.600;1284
administración y finanzas.;Controller;Retail & Comercio;Max;$8.358.293;$7.355.298;$7.689.629;$6.895.592;$7.104.549;$10.447.866;1284
administración y finanzas.;Controller;Servicios;Min;$4.704.480;$4.139.942;$4.328.122;$3.881.196;$3.998.808;$5.880.600;1284
administración y finanzas.;Controller;Servicios;Max;$8.358.293;$7.355.298;$7.689.629;$6.895.592;$7.104.549;$10.447.866;1284
administración y finanzas.;Controller;Transporte y logística;Min;$4.704.480;$4.139.942;$4.328.122;$3.881.196;$3.998.808;$5.880.600;1284
